Player,Tackles,Inter,Clear,Blocks,SpG,KeyP,Drb,Fouled,PS%,Crosses,LongB,ThrB,CB,CF,CM,DM,AM,WM,FB,WF
Marco Asensio Real Madrid,0.1219512195121951,0.04,0.0123456790123456,0.0,0.3125,0.2941176470588235,0.1714285714285714,0.1081081081081081,0.888235294117647,0.1052631578947368,0.1282051282051282,0.0769230769230769,0.01,0.72,0.44,0.01,0.54,0.04,0.01,0.83
Yeremy Pino Villarreal,0.4146341463414634,0.16,0.0864197530864197,0.0454545454545454,0.25,0.2941176470588235,0.2857142857142857,0.4324324324324324,0.6509803921568627,0.0526315789473684,0.0641025641025641,0.0,0.0,0.29,0.2,0.01,0.21,0.42,0.03,0.49
Yuri Berchiche Athletic Bilbao,0.4146341463414634,0.5599999999999999,0.2345679012345679,0.1818181818181818,0.25,0.1764705882352941,0.0857142857142857,0.3243243243243243,0.7627450980392154,0.1578947368421052,0.3076923076923077,0.0769230769230769,0.27,0.02,0.19,0.35,0.02,0.73,0.78,0.0
Iker Muniain Athletic Bilbao,0.1707317073170731,0.04,0.0123456790123456,0.0,0.1875,0.5,0.3714285714285714,0.6216216216216215,0.8215686274509801,0.3157894736842105,0.141025641025641,0.1538461538461538,0.0,0.65,0.21,0.01,0.82,0.05,0.02,0.94
William Carvalho Real Betis,0.3414634146341463,0.16,0.0617283950617284,0.0909090909090909,0.1458333333333333,0.1764705882352941,0.2857142857142857,0.2972972972972972,0.8352941176470587,0.0,0.3717948717948718,0.0769230769230769,0.15,0.06,0.59,0.06,0.05,0.5,0.11,0.02
Dani Vivian Athletic Bilbao,0.4146341463414634,0.48,0.4320987654320988,0.2272727272727272,0.1041666666666666,0.0588235294117647,0.0571428571428571,0.1621621621621621,0.7039215686274509,0.0,0.5256410256410257,0.0769230769230769,0.99,0.0,0.01,0.1,0.0,0.0,0.01,0.0
Aitor Ruibal Real Betis,0.4878048780487805,0.4,0.1604938271604938,0.0,0.1041666666666666,0.1764705882352941,0.3999999999999999,0.1891891891891891,0.7019607843137254,0.0526315789473684,0.1794871794871795,0.0,0.1,0.0,0.16,0.13,0.07,0.46,0.6,0.14
Germán Pezzella Real Betis,0.3170731707317074,0.68,0.5185185185185186,0.2272727272727272,0.0625,0.0294117647058823,0.0,0.1351351351351351,0.8627450980392157,0.0,0.3333333333333333,0.0,1.0,0.0,0.01,0.13,0.0,0.0,0.34,0.0
Marcos Acuña Sevilla,0.5365853658536587,0.32,0.1234567901234568,0.0909090909090909,0.1666666666666666,0.3235294117647059,0.1714285714285714,0.3243243243243243,0.7235294117647058,0.3157894736842105,0.3461538461538462,0.0,0.04,0.0,0.37,0.15,0.06,0.78,0.92,0.0
Pablo Maffeo Mallorca,0.4390243902439025,0.2799999999999999,0.1728395061728395,0.1818181818181818,0.1458333333333333,0.2941176470588235,0.2571428571428571,0.4324324324324324,0.5372549019607842,0.1842105263157894,0.1794871794871795,0.0769230769230769,0.1,0.03,0.23,0.03,0.04,0.75,0.97,0.0
Unai Núñez Celta Vigo,0.3170731707317074,0.8400000000000001,0.4691358024691358,0.1818181818181818,0.0833333333333333,0.0294117647058823,0.0857142857142857,0.2162162162162162,0.8274509803921566,0.0,0.5128205128205129,0.0,0.98,0.0,0.0,0.11,0.0,0.02,0.12,0.0
Iñaki Williams Athletic Bilbao,0.1463414634146341,0.08,0.0987654320987654,0.0454545454545454,0.4375,0.2941176470588235,0.3142857142857143,0.1891891891891891,0.5294117647058825,0.0526315789473684,0.0384615384615384,0.0,0.0,0.97,0.08,0.0,0.38,0.12,0.01,0.56
Florian Lejeune Rayo Vallecano,0.2195121951219512,0.2,0.4938271604938272,0.2727272727272727,0.2916666666666667,0.088235294117647,0.0285714285714285,0.081081081081081,0.6862745098039216,0.0,0.5897435897435898,0.0,0.96,0.09,0.14,0.24,0.02,0.04,0.24,0.03
David López Girona,0.3414634146341463,0.2,0.3950617283950617,0.409090909090909,0.125,0.1176470588235294,0.0857142857142857,0.2162162162162162,0.8862745098039213,0.0,0.3974358974358975,0.0,0.98,0.0,0.01,0.13,0.0,0.01,0.42,0.0
