Player,Player.1,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Apps,Mins
"133Vitaly JaneltBrentford, 24, DMC","Vitaly Janelt Brentford, 24, DMC",1,0.4,26.4,79.3,0.2,1.8,-,6.67,17(9),1586.0
"134Kurt ZoumaWest Ham, 28, D(CR)","Kurt Zouma West Ham, 28, D(CR)",-,0.1,39.1,86.1,-,2.2,-,6.67,17(1),1476.0
"135Tyrone MingsAston Villa, 30, D(CL)","Tyrone Mings Aston Villa, 30, D(CL)",2,0.2,52.5,85.3,-,3.0,-,6.67,25,2250.0
"136Saïd BenrahmaWest Ham, 27, AM(CLR)","Saïd Benrahma West Ham, 27, AM(CLR)",3,1.4,21.1,82.8,0.4,0.5,0.1,6.67,16(9),1520.0
"137Joël VeltmanBrighton, 31, D(CR),M(R)","Joël Veltman Brighton, 31, D(CR),M(R)",1,0.3,46.0,85.3,0.2,1.7,-,6.66,19(5),1792.0
"138Maximilian KilmanWolves, 25, D(C)","Maximilian Kilman Wolves, 25, D(C)",-,0.1,59.3,83.5,0.1,3.1,-,6.66,29,2610.0
"139Christian EriksenMan Utd, 31, M(CLR),FW","Christian Eriksen Man Utd, 31, M(CLR),FW",7,1.3,50.6,82.7,0.7,2.4,0.2,6.65,18(1),1499.0
"140Marc CucurellaChelsea, 24, D(CL),M(L)","Marc Cucurella Chelsea, 24, D(CL),M(L)",2,0.5,46.1,86.4,0.5,1.3,-,6.65,19(3),1521.0
"141Julián ÁlvarezMan City, 23, AM(CR),FW","Julián Álvarez Man City, 23, AM(CR),FW",-,0.5,12.3,81.1,0.1,0.5,0.1,6.65,7(14),829.0
"142JorginhoChelsea, 31, DMC","Jorginho Chelsea, 31, DMC",-,0.4,48.8,85.2,-,2.1,-,6.65,15(3),1282.0
"143Jordan AyewCrystal Palace, 31, AM(CLR),FW","Jordan Ayew Crystal Palace, 31, AM(CLR),FW",2,0.8,19.9,79.5,0.3,0.2,-,6.65,22(7),1927.0
"144Issa DiopFulham, 26, D(C)","Issa Diop Fulham, 26, D(C)",-,0.1,54.7,85.3,-,2.6,-,6.65,16(3),1503.0
"145Sean LongstaffNewcastle, 25, DMC","Sean Longstaff Newcastle, 25, DMC",3,0.7,34.2,81.3,0.3,1.6,0.1,6.65,23(4),2105.0
"146Ché AdamsSouthampton, 26, AM(CL),FW","Ché Adams Southampton, 26, AM(CL),FW",3,1,17.8,67.1,0.1,0.9,0.1,6.65,22(3),1880.0
"147Ben DaviesTottenham, 29, D(CL),M(L)","Ben Davies Tottenham, 29, D(CL),M(L)",2,0.7,40.1,84.4,0.2,1.7,-,6.65,21(4),1832.0
