Player,Player.1,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Apps,Mins
"127Marcos AlonsoBarcelona, 32, D(CL),M(L)","Marcos Alonso Barcelona, 32, D(CL),M(L)",-,0.3,41.3,92.0,0.3,2.3,0.1,6.66,7(9),764.0
"128Thomas LemarAtletico, 27, AM(CLR)","Thomas Lemar Atletico, 27, AM(CLR)",2,1.1,27.6,88.9,0.5,1.2,0.2,6.66,12(8),909.0
"129Oriol RomeuGirona, 31, DMC","Oriol Romeu Girona, 31, DMC",-,0.7,48.6,86.4,0.1,2.7,-,6.66,23,2055.0
"130Sergio CamelloRayo Vallecano, 22, FW","Sergio Camello Rayo Vallecano, 22, FW",4,0.9,13.9,79.0,-,0.3,-,6.66,23(4),1925.0
"131Alfonso EspinoCadiz, 31, D(L)","Alfonso Espino Cadiz, 31, D(L)",3,0.8,30.8,65.4,0.5,1.5,-,6.65,25(1),2223.0
"132Brian OlivánEspanyol, 29, D(CL)","Brian Oliván Espanyol, 29, D(CL)",5,1.1,26.8,69.3,1.1,2.3,-,6.65,23,1922.0
"133Geoffrey KondogbiaAtletico, 30, D(C),DMC","Geoffrey Kondogbia Atletico, 30, D(C),DMC",2,0.3,37.0,89.2,-,1.3,-,6.65,10(6),960.0
"134Martín ZubimendiReal Sociedad, 24, DMC","Martín Zubimendi Real Sociedad, 24, DMC",2,0.4,50.2,84.7,-,2.3,0.1,6.65,25(1),2231.0
"135Chimy AvilaOsasuna, 29, AM(LR),FW","Chimy Avila Osasuna, 29, AM(LR),FW",2,0.7,16.3,58.7,0.7,1.7,-,6.64,20(3),1480.0
"136Nahuel MolinaAtletico, 24, D(R),M(R)","Nahuel Molina Atletico, 24, D(R),M(R)",1,1.2,46.1,78.6,0.8,1.9,0.1,6.64,22,1886.0
"137Hugo MalloCelta Vigo, 31, D(CR),M(R)","Hugo Mallo Celta Vigo, 31, D(CR),M(R)",-,0.7,41.2,80.1,0.5,1.5,-,6.64,19,1569.0
"138Predrag RajkovicMallorca, 27, GK","Predrag Rajkovic Mallorca, 27, GK",-,0.1,30.3,57.0,-,8.8,-,6.64,27,2430.0
"139Javi SánchezReal Valladolid, 26, D(C)","Javi Sánchez Real Valladolid, 26, D(C)",-,0.1,40.1,82.8,-,2.7,-,6.64,21(1),1779.0
"140Íñigo Ruíz de GalarretaMallorca, 29, DMC","Íñigo Ruíz de Galarreta Mallorca, 29, DMC",-,0.7,39.6,85.4,0.3,2.5,-,6.63,21(2),1840.0
"141Gonzalo MeleroAlmeria, 29, M(C),FW","Gonzalo Melero Almeria, 29, M(C),FW",3,0.8,28.9,87.8,-,1.5,-,6.63,15(2),1220.0
"142Ferland MendyReal Madrid, 27, D(L),M(L)","Ferland Mendy Real Madrid, 27, D(L),M(L)",1,0.9,43.5,92.2,0.1,1.0,-,6.63,14(1),1162.0
"143Luis MillaGetafe, 28, DMC","Luis Milla Getafe, 28, DMC",-,1.2,36.0,82.9,1,2.8,-,6.63,17(3),1455.0
"144Íñigo LekueAthletic Bilbao, 29, D(LR),M(LR)","Íñigo Lekue Athletic Bilbao, 29, D(LR),M(LR)",1,0.7,34.5,81.2,0.5,1.9,-,6.62,13(5),1255.0
"145Lucas BoyéElche, 27, AM(L),FW","Lucas Boyé Elche, 27, AM(L),FW",2,0.8,18.3,79.8,0.3,0.5,0.1,6.62,20(4),1700.0
"146David AlabaReal Madrid, 30, D(CL),M(CL)","David Alaba Real Madrid, 30, D(CL),M(CL)",3,0.8,47.5,89.3,0.4,1.0,0.1,6.62,18(2),1615.0
"147Omar MascarellElche, 30, DMC","Omar Mascarell Elche, 30, DMC",-,0.8,41.0,85.3,0.5,3.0,-,6.62,24,2090.0
"148Sergio EscuderoReal Valladolid, 33, D(L),M(L)","Sergio Escudero Real Valladolid, 33, D(L),M(L)",-,0.6,25.6,73.7,0.6,1.2,-,6.62,12(2),957.0
"149Giorgi MamardashviliValencia, 22, GK","Giorgi Mamardashvili Valencia, 22, GK",-,-,25.7,66.0,-,5.1,-,6.62,27,2430.0
"150Etienne CapoueVillarreal, 34, D(C),M(CL)","Etienne Capoue Villarreal, 34, D(C),M(CL)",-,0.3,39.8,88.1,-,1.3,0.1,6.61,17(2),1470.0
"151Mouctar DiakhabyValencia, 26, D(C)","Mouctar Diakhaby Valencia, 26, D(C)",-,0.2,43.5,83.1,-,3.5,-,6.61,18(1),1549.0
"152Edgar BadiaElche, 31, GK","Edgar Badia Elche, 31, GK",-,-,23.6,64.5,-,6.9,-,6.61,27,2430.0
"153Valentín CastellanosGirona, 24, AM(R),FW","Valentín Castellanos Girona, 24, AM(R),FW",-,0.4,12.2,63.2,-,0.3,0.1,6.61,25(1),2016.0
"154Álex BaenaVillarreal, 21, AM(CL)","Álex Baena Villarreal, 21, AM(CL)",1,1,21.3,80.6,0.2,1.0,0.3,6.61,13(11),1378.0
"155NachoReal Madrid, 33, D(CLR)","Nacho Real Madrid, 33, D(CLR)",1,0.4,34.5,92.5,-,0.9,-,6.59,10(7),923.0
"156Dani RodríguezMallorca, 34, AM(CLR)","Dani Rodríguez Mallorca, 34, AM(CLR)",3,0.8,19.1,82.1,0.2,1.2,0.1,6.59,21(5),1640.0
"157Óliver TorresSevilla, 28, M(CLR)","Óliver Torres Sevilla, 28, M(CLR)",1,1.1,33.5,81.7,0.5,2.4,-,6.59,22(3),1704.0
"158Stole DimitrievskiRayo Vallecano, 29, GK","Stole Dimitrievski Rayo Vallecano, 29, GK",-,-,25.2,54.1,-,4.1,-,6.59,26,2340.0
"159SusoSevilla, 29, AM(CLR),FW","Suso Sevilla, 29, AM(CLR),FW",1,1.2,20.9,88.7,0.4,1.9,0.1,6.58,5(11),614.0
"160Andrés GuardadoReal Betis, 36, D(L),M(CL)","Andrés Guardado Real Betis, 36, D(L),M(CL)",1,0.6,32.3,84.9,0.3,2.5,0.1,6.58,11(7),972.0
