Player,Player.1,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Apps,Mins
"88Gédéon KaluluLorient, 25, D(R)","Gédéon Kalulu Lorient, 25, D(R)",3,0.9,44.0,80.6,0.3,2.2,-,6.82,22,1980.0
"89Sead KolasinacMarseille, 29, D(CL),DMC,M(L)","Sead Kolasinac Marseille, 29, D(CL),DMC,M(L)",1,0.4,34.3,85.4,0.2,0.9,-,6.81,18(6),1488.0
"90Thibault De SmetReims, 24, D(L),M(L)","Thibault De Smet Reims, 24, D(L),M(L)",1,0.3,44.7,78.7,0.4,1.7,-,6.81,15,1338.0
"91Rominigue KouaméTroyes, 26, DMC","Rominigue Kouamé Troyes, 26, DMC",1,0.8,43.7,88.1,0.1,2.2,0.1,6.8,24,2031.0
"92Samuel GigotMarseille, 29, D(C)","Samuel Gigot Marseille, 29, D(C)",2,0.2,44.2,87.1,0.1,1.2,-,6.79,18(2),1489.0
"93Alidu SeiduClermont Foot, 22, D(CR)","Alidu Seidu Clermont Foot, 22, D(CR)",-,0.3,44.4,87.8,0.3,2.2,-,6.79,21,1835.0
"94Désiré DouéRennes, 17, AM(C)","Désiré Doué Rennes, 17, AM(C)",1,0.6,17.8,81.6,0.4,1.0,-,6.79,11(11),1061.0
"95Brice SambaLens, 28, GK","Brice Samba Lens, 28, GK",-,-,29.4,74.1,-,6.2,-,6.79,29,2610.0
"96Bradley BarcolaLyon, 20, AM(R)","Bradley Barcola Lyon, 20, AM(R)",3,0.7,13.6,73.3,0.1,0.1,-,6.78,8(11),842.0
"97Thomas FoketReims, 28, D(R),M(R)","Thomas Foket Reims, 28, D(R),M(R)",-,1.1,40.8,82.5,0.5,1.9,-,6.78,14(1),1246.0
"98Jean-Clair TodiboNice, 23, D(C)","Jean-Clair Todibo Nice, 23, D(C)",-,0.1,64.4,89.1,-,3.1,-,6.78,27,2302.0
"99Cengiz ÜnderMarseille, 25, M(CLR)","Cengiz Ünder Marseille, 25, M(CLR)",4,1,22.0,76.5,1,1.1,-,6.78,19(9),1697.0
"100Quentin MerlinNantes, 20, D(L),M(L)","Quentin Merlin Nantes, 20, D(L),M(L)",1,1.6,43.6,79.9,1.6,3.1,-,6.78,15(1),1270.0
"101Steve MandandaRennes, 38, GK","Steve Mandanda Rennes, 38, GK",1,-,30.8,70.2,-,6.9,-,6.77,27,2386.0
"102Sinaly DiomandéLyon, 21, D(C)","Sinaly Diomandé Lyon, 21, D(C)",-,0.1,57.8,85.0,0.1,2.3,-,6.77,16(1),1392.0
"103Facundo MedinaLens, 23, D(CL)","Facundo Medina Lens, 23, D(CL)",3,0.5,79.1,90.5,0.3,2.9,-,6.77,24,2064.0
"104Nordi MukielePSG, 25, D(CR),M(R)","Nordi Mukiele PSG, 25, D(CR),M(R)",3,0.5,31.7,88.4,0.1,0.6,-,6.76,12(7),1133.0
"105Christopher JullienMontpellier, 30, D(C)","Christopher Jullien Montpellier, 30, D(C)",1,0.3,36.3,84.3,-,2.6,-,6.76,23,2066.0
"106Vito MannoneLorient, 35, GK","Vito Mannone Lorient, 35, GK",-,-,26.3,71.2,-,3.4,-,6.76,15(1),1427.0
