Player,Player.1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
"94Désiré DouéRennes, 17, AM(C)","Désiré Doué Rennes, 17, AM(C)",11(11),1061,3,1,1,0.6,2,1.1,0.2,1.3,1.5,6.79
"95Brice SambaLens, 28, GK","Brice Samba Lens, 28, GK",29,2610,-,-,-,-,-,0.1,-,-,-,6.79
"96Bradley BarcolaLyon, 20, AM(R)","Bradley Barcola Lyon, 20, AM(R)",8(11),842,4,3,1.1,0.7,1.4,0.2,0.2,0.3,1.2,6.78
"97Thomas FoketReims, 28, D(R),M(R)","Thomas Foket Reims, 28, D(R),M(R)",14(1),1246,-,-,0.1,1.1,0.5,0.9,0.1,0.8,1.1,6.78
"98Jean-Clair TodiboNice, 23, D(C)","Jean-Clair Todibo Nice, 23, D(C)",27,2302,-,-,0.3,0.1,0.5,0.5,-,0.3,0.7,6.78
"99Cengiz ÜnderMarseille, 25, M(CLR)","Cengiz Ünder Marseille, 25, M(CLR)",19(9),1697,2,4,1.7,1,1,0.8,0.3,0.9,1.6,6.78
"100Quentin MerlinNantes, 20, D(L),M(L)","Quentin Merlin Nantes, 20, D(L),M(L)",15(1),1270,-,1,0.8,1.6,1,0.7,-,0.5,1,6.78
"101Steve MandandaRennes, 38, GK","Steve Mandanda Rennes, 38, GK",27,2386,-,1,-,-,-,0.1,-,-,0.1,6.77
"102Sinaly DiomandéLyon, 21, D(C)","Sinaly Diomandé Lyon, 21, D(C)",16(1),1392,-,-,0.4,0.1,0.2,0.8,0.1,0.3,0.9,6.77
"103Facundo MedinaLens, 23, D(CL)","Facundo Medina Lens, 23, D(CL)",24,2064,1,3,0.5,0.5,0.9,0.6,-,0.8,0.7,6.77
"104Nordi MukielePSG, 25, D(CR),M(R)","Nordi Mukiele PSG, 25, D(CR),M(R)",12(7),1133,-,3,0.6,0.5,0.3,0.7,0.1,0.6,0.6,6.76
"105Christopher JullienMontpellier, 30, D(C)","Christopher Jullien Montpellier, 30, D(C)",23,2066,-,1,0.6,0.3,-,0.3,0.1,0.1,0.6,6.76
"106Vito MannoneLorient, 35, GK","Vito Mannone Lorient, 35, GK",15(1),1427,-,-,-,-,-,0.1,-,-,-,6.76
