Player,Player.1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
"123Kyle Walker-PetersSouthampton, 25, D(LR),M(R)","Kyle Walker-Peters Southampton, 25, D(LR),M(R)",21(1),1843,1,-,0.5,0.5,1.5,1.3,-,1.5,1.3,6.7
"124Nathan AkéMan City, 28, D(CL),DMC","Nathan Aké Man City, 28, D(CL),DMC",18(4),1602,-,-,0.3,0.4,0.1,0.5,-,-,0.7,6.7
"125Ivan PerisicTottenham, 34, M(CLR),FW","Ivan Perisic Tottenham, 34, M(CLR),FW",18(9),1669,1,5,0.8,1.3,0.4,0.1,0.1,0.4,1,6.7
"126Cheick DoucouréCrystal Palace, 23, DMC","Cheick Doucouré Crystal Palace, 23, DMC",26,2125,-,2,1,0.8,0.4,0.3,-,0.7,0.8,6.7
"127Emiliano BuendíaAston Villa, 26, M(CLR)","Emiliano Buendía Aston Villa, 26, M(CLR)",19(9),1717,5,-,1.2,0.9,0.6,1.0,-,1.5,1.5,6.7
"128Joe GomezLiverpool, 25, D(CLR)","Joe Gomez Liverpool, 25, D(CLR)",13(6),1281,-,-,0.2,0.1,0.3,0.2,-,0.1,0.5,6.69
"129Hugo LlorisTottenham, 36, GK","Hugo Lloris Tottenham, 36, GK",22,1980,-,-,-,-,-,0.1,-,-,0.1,6.69
"130Aaron RamsdaleArsenal, 24, GK","Aaron Ramsdale Arsenal, 24, GK",29,2610,-,-,-,-,-,0.1,-,-,-,6.68
"131Jordan PickfordEverton, 29, GK","Jordan Pickford Everton, 29, GK",28,2520,-,1,-,0.1,-,0.1,-,-,-,6.68
"132Nick PopeNewcastle, 30, GK","Nick Pope Newcastle, 30, GK",27,2362,-,-,-,-,-,-,-,-,0.1,6.67
"133Vitaly JaneltBrentford, 24, DMC","Vitaly Janelt Brentford, 24, DMC",17(9),1586,3,1,0.4,0.4,0.3,0.6,-,0.4,0.5,6.67
"134Kurt ZoumaWest Ham, 28, D(CR)","Kurt Zouma West Ham, 28, D(CR)",17(1),1476,1,-,0.7,0.1,0.1,0.2,-,-,0.3,6.67
"135Tyrone MingsAston Villa, 30, D(CL)","Tyrone Mings Aston Villa, 30, D(CL)",25,2250,-,2,0.1,0.2,0.1,0.6,-,0.2,0.3,6.67
"136Saïd BenrahmaWest Ham, 27, AM(CLR)","Saïd Benrahma West Ham, 27, AM(CLR)",16(9),1520,4,3,2.2,1.4,1.4,0.4,0.2,1.2,1.7,6.67
"137Joël VeltmanBrighton, 31, D(CR),M(R)","Joël Veltman Brighton, 31, D(CR),M(R)",19(5),1792,1,1,0.5,0.3,0.2,1.3,-,0.3,0.7,6.66
