Player,Player.1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
"138Maximilian KilmanWolves, 25, D(C)","Maximilian Kilman Wolves, 25, D(C)",29,2610,-,-,0.3,0.1,0.5,0.3,-,0.2,0.5,6.66
"139Christian EriksenMan Utd, 31, M(CLR),FW","Christian Eriksen Man Utd, 31, M(CLR),FW",18(1),1499,1,7,1.2,1.3,0.2,0.3,0.1,0.7,1,6.65
"140Marc CucurellaChelsea, 24, D(CL),M(L)","Marc Cucurella Chelsea, 24, D(CL),M(L)",19(3),1521,-,2,0.3,0.5,0.2,0.9,-,0.2,0.6,6.65
"141Julián ÁlvarezMan City, 23, AM(CR),FW","Julián Álvarez Man City, 23, AM(CR),FW",7(14),829,6,-,1.4,0.5,0.5,0.4,0.1,0.6,0.8,6.65
"142JorginhoChelsea, 31, DMC","Jorginho Chelsea, 31, DMC",15(3),1282,2,-,0.3,0.4,0.3,1.3,-,0.5,0.8,6.65
"143Jordan AyewCrystal Palace, 31, AM(CLR),FW","Jordan Ayew Crystal Palace, 31, AM(CLR),FW",22(7),1927,1,2,0.6,0.8,1.2,2.1,0.1,1.9,2.4,6.65
"144Issa DiopFulham, 26, D(C)","Issa Diop Fulham, 26, D(C)",16(3),1503,1,-,0.2,0.1,0.1,0.3,0.1,0.1,0.3,6.65
"145Sean LongstaffNewcastle, 25, DMC","Sean Longstaff Newcastle, 25, DMC",23(4),2105,1,3,0.9,0.7,0.3,1.3,0.1,0.9,1.1,6.65
"146Ché AdamsSouthampton, 26, AM(CL),FW","Ché Adams Southampton, 26, AM(CL),FW",22(3),1880,5,3,1.7,1,0.6,0.8,0.4,0.9,2.6,6.65
"147Ben DaviesTottenham, 29, D(CL),M(L)","Ben Davies Tottenham, 29, D(CL),M(L)",21(4),1832,2,2,0.6,0.7,0.2,0.5,-,0.2,0.4,6.65
"148Ainsley Maitland-NilesSouthampton, 25, D(LR),M(CLR)","Ainsley Maitland-Niles Southampton, 25, D(LR),M(CLR)",9(7),979,-,-,0.1,0.4,0.6,0.4,-,0.6,0.9,6.65
"149Aaron CresswellWest Ham, 33, D(CL),M(L)","Aaron Cresswell West Ham, 33, D(CL),M(L)",17(3),1581,-,-,0.4,1.6,0.1,0.3,0.1,0.3,0.3,6.64
"150David de GeaMan Utd, 32, GK","David de Gea Man Utd, 32, GK",27,2430,-,-,-,-,-,0.1,-,-,-,6.64
"151Jefferson LermaBournemouth, 28, D(R),DMC","Jefferson Lerma Bournemouth, 28, D(R),DMC",27,2371,3,-,0.9,0.4,0.4,1.1,0.1,0.5,0.7,6.64
"152Idrissa GueyeEverton, 33, M(C)","Idrissa Gueye Everton, 33, M(C)",23(1),1888,-,1,0.3,0.3,0.6,1.7,-,0.6,1.0,6.63
"153FabinhoLiverpool, 29, D(CR),DMC","Fabinho Liverpool, 29, D(CR),DMC",20(5),1777,-,-,0.4,0.4,0.2,0.6,-,0.4,0.5,6.63
