Player,Player.1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
"58Iza CarcelénCadiz, 29, D(R)","Iza Carcelén Cadiz, 29, D(R)",16(2),1420,-,1,0.3,0.3,0.6,0.9,0.1,0.7,0.7,6.82
"59Omar AldereteGetafe, 26, D(C)","Omar Alderete Getafe, 26, D(C)",13(1),1171,-,1,0.6,0.3,0.7,0.6,-,0.4,0.6,6.81
"60David GarcíaOsasuna, 29, D(C)","David García Osasuna, 29, D(C)",23,2032,2,-,0.5,0.2,0.1,0.5,-,-,0.3,6.81
"61David SoriaGetafe, 30, GK","David Soria Getafe, 30, GK",27,2430,-,-,-,0.1,-,0.1,-,-,-,6.81
"62Vinicius SouzaEspanyol, 23, DMC","Vinicius Souza Espanyol, 23, DMC",25,2129,-,-,0.3,0.3,0.4,1.4,-,0.4,1.1,6.81
"63André AlmeidaValencia, 22, M(C)","André Almeida Valencia, 22, M(C)",19(5),1690,2,3,0.5,1.0,1.3,1.1,-,1.3,1.1,6.8
"64Marcos LlorenteAtletico, 28, D(R),M(CR),FW","Marcos Llorente Atletico, 28, D(R),M(CR),FW",19(1),1532,1,2,1,1.3,0.6,0.6,0.1,0.5,1.1,6.8
"65Marco AsensioReal Madrid, 27, AM(CLR),FW","Marco Asensio Real Madrid, 27, AM(CLR),FW",8(13),784,6,4,1.5,1.0,0.6,0.4,0.1,0.4,0.5,6.79
"66Yeremy PinoVillarreal, 20, AM(LR)","Yeremy Pino Villarreal, 20, AM(LR)",21(5),1661,3,3,1.2,1.0,1,1.6,0.5,1.1,1.6,6.79
"67Eduardo CamavingaReal Madrid, 20, D(L),DMC","Eduardo Camavinga Real Madrid, 20, D(L),DMC",15(12),1433,-,1,0.6,0.6,1.1,1.8,0.1,0.6,1.1,6.79
"68Yuri BerchicheAthletic Bilbao, 33, D(L),M(L)","Yuri Berchiche Athletic Bilbao, 33, D(L),M(L)",16(2),1418,1,1,1.2,0.6,0.3,1.2,0.2,0.6,0.7,6.79
"69Iker MuniainAthletic Bilbao, 30, AM(CLR)","Iker Muniain Athletic Bilbao, 30, AM(CLR)",16(7),1393,-,3,0.9,1.7,1.3,2.3,-,1.1,1.1,6.78
"70Antonio RaílloMallorca, 31, D(C)","Antonio Raíllo Mallorca, 31, D(C)",26,2340,1,1,0.4,0.2,0.1,0.7,0.1,0.1,0.3,6.78
"71Luka ModricReal Madrid, 37, M(C)","Luka Modric Real Madrid, 37, M(C)",16(8),1415,4,3,1.1,1.3,0.6,0.5,0.1,0.4,1.1,6.78
"72Sergi RobertoBarcelona, 31, D(R),M(CR)","Sergi Roberto Barcelona, 31, D(R),M(CR)",11(7),1036,4,1,0.7,0.4,0.3,0.6,0.1,0.2,0.3,6.78
"73Alfonso PedrazaVillarreal, 26, D(L),M(L)","Alfonso Pedraza Villarreal, 26, D(L),M(L)",13(4),1068,-,2,1.2,0.6,0.9,0.8,0.1,0.7,1.1,6.78
"74William CarvalhoReal Betis, 30, DMC","William Carvalho Real Betis, 30, DMC",21(2),1725,2,-,0.7,0.6,1,1.1,-,1,0.9,6.77
"75Samuel LinoValencia, 23, AM(LR),FW","Samuel Lino Valencia, 23, AM(LR),FW",25(2),2173,2,1,2.6,0.7,1.4,1.5,0.5,1.5,2.6,6.77
"76Dani VivianAthletic Bilbao, 23, D(C)","Dani Vivian Athletic Bilbao, 23, D(C)",18(1),1624,1,-,0.5,0.2,0.2,0.6,0.1,0.5,0.6,6.77
"77Aitor RuibalReal Betis, 27, D(R),M(LR)","Aitor Ruibal Real Betis, 27, D(R),M(LR)",12(9),1171,-,-,0.5,0.6,1.4,0.7,0.1,0.5,1.0,6.76
"78Germán PezzellaReal Betis, 31, D(C)","Germán Pezzella Real Betis, 31, D(C)",21(2),1875,-,-,0.3,0.1,-,0.5,-,-,0.4,6.76
"79Marcos AcuñaSevilla, 31, D(CL),M(CL)","Marcos Acuña Sevilla, 31, D(CL),M(CL)",16(6),1416,2,1,0.8,1.1,0.6,1.2,-,0.8,1.0,6.76
"80Diego RicoReal Sociedad, 30, D(CL),M(L)","Diego Rico Real Sociedad, 30, D(CL),M(L)",16(2),1467,-,-,0.4,0.6,0.7,1.4,0.1,0.5,1.2,6.75
"81Stefan SavicAtletico, 32, D(C)","Stefan Savic Atletico, 32, D(C)",19,1676,-,-,0.1,0.1,0.2,0.4,0.1,0.2,0.1,6.75
"82Rui SilvaReal Betis, 29, GK","Rui Silva Real Betis, 29, GK",21,1890,-,-,-,-,-,0.1,-,-,-,6.75
"83Robin Le NormandReal Sociedad, 26, D(C)","Robin Le Normand Real Sociedad, 26, D(C)",22(2),1985,-,-,0.3,0.1,0.1,1.0,0.1,0.3,0.2,6.75
"84Pablo MaffeoMallorca, 25, D(R),M(R)","Pablo Maffeo Mallorca, 25, D(R),M(R)",24(1),2084,1,3,0.7,1,0.9,1.6,0.2,0.9,1.6,6.74
"85Unai NúñezCelta Vigo, 26, D(C)","Unai Núñez Celta Vigo, 26, D(C)",25,2250,-,-,0.4,0.1,0.3,0.8,-,-,0.4,6.74
"86Iñaki WilliamsAthletic Bilbao, 28, AM(CLR),FW","Iñaki Williams Athletic Bilbao, 28, AM(CLR),FW",23(2),1957,5,2,2.1,1,1.1,0.7,0.8,1.1,2,6.74
"87Florian LejeuneRayo Vallecano, 31, D(C)","Florian Lejeune Rayo Vallecano, 31, D(C)",25,2121,4,-,1.4,0.3,0.1,0.3,0.2,-,0.2,6.73
"88Edgar GonzálezReal Betis, 26, D(C),DMC","Edgar González Real Betis, 26, D(C),DMC",13(5),1234,-,-,0.3,0.1,0.1,0.5,-,0.1,0.3,6.73
"89Sergio CanalesReal Betis, 32, M(CLR)","Sergio Canales Real Betis, 32, M(CLR)",19(2),1648,4,2,1.3,1.7,0.7,1.1,0.1,1.8,2,6.72
"90João FélixAtletico, 23, AM(CL),FW","João Félix Atletico, 23, AM(CL),FW",7(7),651,4,3,1.9,0.7,0.4,1.6,0.2,0.9,1.4,6.72
"91David LópezGirona, 33, D(C),DMC","David López Girona, 33, D(C),DMC",14(1),1250,2,1,0.6,0.4,0.3,0.8,0.2,-,0.3,6.72
"92Mario HermosoAtletico, 27, D(CL)","Mario Hermoso Atletico, 27, D(CL)",13(2),1163,2,-,0.5,0.5,0.3,0.5,0.1,0.2,0.5,6.72
"93Santi ComesañaRayo Vallecano, 26, M(C)","Santi Comesaña Rayo Vallecano, 26, M(C)",19(6),1651,2,-,0.7,0.9,0.8,0.8,0.1,0.8,0.8,6.72
"94Alex BerenguerAthletic Bilbao, 27, D(LR),M(CLR),FW","Alex Berenguer Athletic Bilbao, 27, D(LR),M(CLR),FW",20(6),1699,3,1,1.6,1.3,0.7,0.8,0.5,1.2,1.8,6.71
"95Youssouf SabalyReal Betis, 30, D(LR),M(R)","Youssouf Sabaly Real Betis, 30, D(LR),M(R)",14(4),1275,-,1,0.4,0.5,0.8,1.4,-,1.1,1.1,6.71
"96Yannick CarrascoAtletico, 29, D(L),M(CLR),FW","Yannick Carrasco Atletico, 29, D(L),M(CLR),FW",16(9),1495,3,-,1.8,1.0,1.5,0.4,0.1,1,1.4,6.71
"97Moi GómezOsasuna, 28, M(CLR)","Moi Gómez Osasuna, 28, M(CLR)",25(2),2142,1,2,0.5,1.7,0.9,0.8,-,0.6,1.0,6.71
"98Borja IglesiasReal Betis, 30, FW","Borja Iglesias Real Betis, 30, FW",23(2),1864,12,3,2.0,0.6,0.4,1.6,0.7,1.2,2.6,6.7
"99Eray CömertValencia, 25, D(C)","Eray Cömert Valencia, 25, D(C)",17(3),1528,1,-,0.5,0.2,0.1,0.5,0.1,-,0.1,6.7
"100El Bilal TouréAlmeria, 21, FW","El Bilal Touré Almeria, 21, FW",14(5),1180,6,2,1.4,0.7,0.3,0.3,0.7,0.3,2.3,6.7
"101KokeAtletico, 31, M(CLR)","Koke Atletico, 31, M(CLR)",20(3),1698,-,3,0.4,0.9,0.1,1.0,-,0.5,0.9,6.7
"102Igor ZubeldiaReal Sociedad, 26, D(C),DMC","Igor Zubeldia Real Sociedad, 26, D(C),DMC",20(2),1799,1,1,0.2,0.1,0.2,0.5,-,-,0.2,6.69
"103Arnau MartinezGirona, 19, D(R)","Arnau Martinez Girona, 19, D(R)",22(1),1850,3,2,0.7,1.2,0.7,2.0,0.2,0.6,1.3,6.69
"104Alejandro CatenaRayo Vallecano, 28, D(C)","Alejandro Catena Rayo Vallecano, 28, D(C)",25,2250,1,1,0.4,0.2,-,0.6,0.1,0.1,0.3,6.69
"105Mikel VesgaAthletic Bilbao, 29, DMC","Mikel Vesga Athletic Bilbao, 29, DMC",20(6),1856,3,2,0.7,0.7,0.2,0.6,-,0.5,1.2,6.69
"106Rodrigo De PaulAtletico, 28, AM(CLR),FW","Rodrigo De Paul Atletico, 28, AM(CLR),FW",14(6),1152,1,3,0.6,1.5,0.5,1.4,-,0.6,1.1,6.69
"107Nabil FekirReal Betis, 29, AM(CLR),FW","Nabil Fekir Real Betis, 29, AM(CLR),FW",12(3),970,2,2,1.7,1.5,1.1,2.6,0.5,1.5,2.3,6.69
"108Jan OblakAtletico, 30, GK","Jan Oblak Atletico, 30, GK",25,2223,-,-,-,-,-,0.1,-,-,-,6.69
"109Thierry CorreiaValencia, 24, D(R),M(R)","Thierry Correia Valencia, 24, D(R),M(R)",19(2),1635,-,-,0.3,0.4,0.5,1.9,-,0.5,1.5,6.69
"110Joseph AidooCelta Vigo, 27, D(C)","Joseph Aidoo Celta Vigo, 27, D(C)",27,2414,2,-,0.4,-,0.2,0.4,-,0.3,0.3,6.69
"111Raúl AlbiolVillarreal, 37, D(C)","Raúl Albiol Villarreal, 37, D(C)",23,2016,-,-,0.1,0.1,0.1,0.5,-,0.2,0.5,6.69
"112Álex RemiroReal Sociedad, 28, GK","Álex Remiro Real Sociedad, 28, GK",27,2430,-,-,-,-,-,0.1,-,-,-,6.68
"113Dani CeballosReal Madrid, 26, M(CL)","Dani Ceballos Real Madrid, 26, M(CL)",10(10),840,-,1,0.4,1,1,1.1,-,0.8,0.5,6.68
"114Fernando MartínezAlmeria, 32, GK","Fernando Martínez Almeria, 32, GK",26,2296,-,-,-,-,-,0.2,-,-,-,6.67
"115Nemanja GudeljSevilla, 31, D(C),M(C)","Nemanja Gudelj Sevilla, 31, D(C),M(C)",23(1),2054,3,-,1.4,0.1,-,0.8,-,-,0.5,6.67
"116Gonzalo PlataReal Valladolid, 22, AM(R)","Gonzalo Plata Real Valladolid, 22, AM(R)",16(7),1488,-,4,1,1,1.7,1.2,0.1,1.2,1.8,6.67
"117Martin BraithwaiteEspanyol, 31, AM(CLR),FW","Martin Braithwaite Espanyol, 31, AM(CLR),FW",22,1820,9,1,2,0.4,0.6,1.3,0.5,0.7,1.6,6.67
"118Óscar ValentínRayo Vallecano, 28, DMC","Óscar Valentín Rayo Vallecano, 28, DMC",20(4),1758,-,-,0.4,0.6,0.2,1.4,-,0.4,0.8,6.66
"119Óscar TrejoRayo Vallecano, 34, M(CLR),FW","Óscar Trejo Rayo Vallecano, 34, M(CLR),FW",22(3),1670,3,4,0.7,1.4,1.7,2.1,0.2,2.7,2,6.66
"120Fran GarcíaRayo Vallecano, 23, D(L)","Fran García Rayo Vallecano, 23, D(L)",27,2419,-,2,0.8,0.7,0.8,0.7,0.1,0.3,1.2,6.66
"121Luiz HenriqueReal Betis, 22, AM(LR)","Luiz Henrique Real Betis, 22, AM(LR)",16(8),1399,1,1,1.5,0.5,1.6,1.3,0.1,1.8,1.9,6.66
"122Oihan SancetAthletic Bilbao, 22, M(C),FW","Oihan Sancet Athletic Bilbao, 22, M(C),FW",23(3),1797,8,-,1.6,0.9,1.2,1.5,-,1.6,2.3,6.66
"123Óscar De MarcosAthletic Bilbao, 33, D(LR),M(CR)","Óscar De Marcos Athletic Bilbao, 33, D(LR),M(CR)",24(3),2059,-,5,-,1.1,0.2,0.4,0.1,0.6,0.6,6.66
"124Adrián EmbarbaAlmeria, 30, AM(CLR),FW","Adrián Embarba Almeria, 30, AM(CLR),FW",12(8),973,1,3,1.3,1.3,1.4,0.9,0.4,1.0,1.4,6.66
"125Lucas TorróOsasuna, 28, DMC","Lucas Torró Osasuna, 28, DMC",25(1),1979,-,-,0.8,0.2,0.3,1.0,-,0.5,1.1,6.66
"126Justin KluivertValencia, 23, AM(LR)","Justin Kluivert Valencia, 23, AM(LR)",10(10),1049,5,-,1.5,0.9,1.0,0.9,0.3,1.0,1.4,6.66
"127Marcos AlonsoBarcelona, 32, D(CL),M(L)","Marcos Alonso Barcelona, 32, D(CL),M(L)",7(9),764,1,-,0.3,0.3,0.1,0.3,-,0.1,0.4,6.66
"128Thomas LemarAtletico, 27, AM(CLR)","Thomas Lemar Atletico, 27, AM(CLR)",12(8),909,1,2,0.5,1.1,0.8,0.5,0.1,1.0,0.8,6.66
"129Oriol RomeuGirona, 31, DMC","Oriol Romeu Girona, 31, DMC",23,2055,1,-,0.8,0.7,0.5,0.9,-,0.8,0.8,6.66
"130Sergio CamelloRayo Vallecano, 22, FW","Sergio Camello Rayo Vallecano, 22, FW",23(4),1925,5,4,2,0.9,0.5,0.6,0.4,1.0,1.8,6.66
"131Alfonso EspinoCadiz, 31, D(L)","Alfonso Espino Cadiz, 31, D(L)",25(1),2223,-,3,0.5,0.8,0.7,0.9,0.1,0.7,1.7,6.65
"132Brian OlivánEspanyol, 29, D(CL)","Brian Oliván Espanyol, 29, D(CL)",23,1922,1,5,0.5,1.1,0.1,0.5,0.1,0.2,0.8,6.65
"133Geoffrey KondogbiaAtletico, 30, D(C),DMC","Geoffrey Kondogbia Atletico, 30, D(C),DMC",10(6),960,-,2,0.7,0.3,0.1,1.1,0.1,0.6,0.3,6.65
"134Martín ZubimendiReal Sociedad, 24, DMC","Martín Zubimendi Real Sociedad, 24, DMC",25(1),2231,1,2,0.3,0.4,0.2,1.0,-,0.4,0.6,6.65
"135Chimy AvilaOsasuna, 29, AM(LR),FW","Chimy Avila Osasuna, 29, AM(LR),FW",20(3),1480,7,2,2.3,0.7,0.5,1.4,0.5,0.7,1.6,6.64
"136Nahuel MolinaAtletico, 24, D(R),M(R)","Nahuel Molina Atletico, 24, D(R),M(R)",22,1886,-,1,0.5,1.2,0.5,0.5,0.1,0.2,1.1,6.64
"137Hugo MalloCelta Vigo, 31, D(CR),M(R)","Hugo Mallo Celta Vigo, 31, D(CR),M(R)",19,1569,-,-,0.8,0.7,0.3,1.1,0.3,0.3,0.8,6.64
"138Predrag RajkovicMallorca, 27, GK","Predrag Rajkovic Mallorca, 27, GK",27,2430,-,-,-,0.1,0.1,0.1,-,-,0.1,6.64
"139Javi SánchezReal Valladolid, 26, D(C)","Javi Sánchez Real Valladolid, 26, D(C)",21(1),1779,1,-,0.4,0.1,0.3,0.2,-,0.2,0.3,6.64
"140Íñigo Ruíz de GalarretaMallorca, 29, DMC","Íñigo Ruíz de Galarreta Mallorca, 29, DMC",21(2),1840,-,-,0.3,0.7,0.5,1.2,-,0.6,0.5,6.63
"141Gonzalo MeleroAlmeria, 29, M(C),FW","Gonzalo Melero Almeria, 29, M(C),FW",15(2),1220,3,3,1.1,0.8,0.6,1.3,0.2,0.5,1.5,6.63
"142Ferland MendyReal Madrid, 27, D(L),M(L)","Ferland Mendy Real Madrid, 27, D(L),M(L)",14(1),1162,-,1,0.1,0.9,1.1,1.2,-,1,1.1,6.63
"143Luis MillaGetafe, 28, DMC","Luis Milla Getafe, 28, DMC",17(3),1455,-,-,0.3,1.2,0.5,0.8,0.1,0.5,0.9,6.63
"144Íñigo LekueAthletic Bilbao, 29, D(LR),M(LR)","Íñigo Lekue Athletic Bilbao, 29, D(LR),M(LR)",13(5),1255,-,1,0.5,0.7,0.6,0.3,0.1,0.2,0.9,6.62
"145Lucas BoyéElche, 27, AM(L),FW","Lucas Boyé Elche, 27, AM(L),FW",20(4),1700,3,2,1.9,0.8,1.9,1.4,0.4,2.6,4.4,6.62
"146David AlabaReal Madrid, 30, D(CL),M(CL)","David Alaba Real Madrid, 30, D(CL),M(CL)",18(2),1615,1,3,0.7,0.8,0.2,0.2,-,0.2,0.4,6.62
"147Omar MascarellElche, 30, DMC","Omar Mascarell Elche, 30, DMC",24,2090,-,-,0.4,0.8,0.7,0.7,-,0.5,0.5,6.62
"148Sergio EscuderoReal Valladolid, 33, D(L),M(L)","Sergio Escudero Real Valladolid, 33, D(L),M(L)",12(2),957,-,-,1,0.6,0.1,0.9,0.1,0.4,0.6,6.62
"149Giorgi MamardashviliValencia, 22, GK","Giorgi Mamardashvili Valencia, 22, GK",27,2430,-,-,-,-,-,0.1,-,-,-,6.62
"150Etienne CapoueVillarreal, 34, D(C),M(CL)","Etienne Capoue Villarreal, 34, D(C),M(CL)",17(2),1470,-,-,0.8,0.3,0.9,1.4,-,0.5,0.9,6.61
"151Mouctar DiakhabyValencia, 26, D(C)","Mouctar Diakhaby Valencia, 26, D(C)",18(1),1549,2,-,0.6,0.2,0.1,0.3,0.2,0.2,0.5,6.61
"152Edgar BadiaElche, 31, GK","Edgar Badia Elche, 31, GK",27,2430,-,-,-,-,-,0.1,-,-,0.1,6.61
"153Valentín CastellanosGirona, 24, AM(R),FW","Valentín Castellanos Girona, 24, AM(R),FW",25(1),2016,6,-,2.4,0.4,0.5,1.4,1,0.7,1.4,6.61
